name,wiki_url,constituency,exclude,party,brex_cat,brex_cat_lab,brex_cat_source,brex_cat_notes,brex_cat_link,delay_bill,may_bill,benn_bill,nodeal_bill
Nadhim Zahawi,https://en.wikipedia.org/wiki/Nadhim_Zahawi,Stratford-on-Avon,0,Conservative,4,Deal/No deal,"Jan 15 - It's widely expected to be defeated. Nadhim Zahawi, though, says he is backing Mrs May's deal and the Conservative MP for Stratford-on-Avon has called on his colleagues to do the same. March 13 - Stratford-on-Avon's Nadhim Zahawi's said: 'I will be voting to keep no deal on the table because I think it's the best way for us to get a good deal'.","Voted for May deal, willing to keep no deal on the table for neogotiation further down the line",https://www.bbc.co.uk/news/topics/c5mzpy2wx6dt/nadhim-zahawi,NA,1,0,NA
Elizabeth Truss,https://en.wikipedia.org/wiki/Elizabeth_Truss,South West Norfolk,0,Conservative,4,Deal/No deal,"Liz Truss says MPs should back no-deal instead of cancelling Brexit if they reject Theresa May's plan. The Chief Secretary to the Treasury told BBC's Newsnight that if MPs faced a ""straight choice"" between quitting the EU without a deal or revoking Article 50 the UK would ""have to no deal"".",No deal still on the table,https://www.politicshome.com/news/uk/political-parties/conservative-party/news/103915/watch-liz-truss-says-mps-should-back-no,1,1,0,NA
Helen Whately,https://en.wikipedia.org/wiki/Helen_Whately,Faversham and Mid Kent,0,Conservative,4,Deal/No deal,"My overarching view is that we should honour the referendum result and leave the European Union, and it is better if we leave with a negotiated deal. Our future relationship with the EU should reflect the aspirations of those who voted Leave while taking into account the sincerely held concerns of those who voted to Remain. I’ve held this view consistently since the result of the referendum in 2016. I voted to keep no deal on the table firstly because you cannot carry out a negotiation if you aren’t prepared to walk away. Secondly, because dragging out Brexit is bad for businesses – many have told me whatever happens, they want to end the uncertainty. And thirdly, because when it comes down to it, the country voted to Leave.","Voted to keep no deal on the table. Prefers leaving with a deal, but need to have no deal left as an option.",https://www.helenwhately.org.uk/news/how-ive-voted-brexit,NA,1,0,1
Kwasi Kwarteng,https://en.wikipedia.org/wiki/Kwasi_Kwarteng,Spelthorne,0,Conservative,4,Deal/No deal,"Voted for may deal, also prepared to vote for no deal",,https://www.theneweuropean.co.uk/top-stories/brexit-minister-kwasi-kwarteng-no-deal-brexit-is-not-a-world-war-1-6126785,NA,1,0,1
Damian Hinds,https://en.wikipedia.org/wiki/Damian_Hinds,East Hampshire,0,Conservative,4,Deal/No deal,"No-deal would not be good for some sectors and the jobs within them, including some of particular importance to East Hampshire. That said, I have believed that it was right to have no-deal “on the table” not because it would be a good outcome, but to help secure the best possible deal, and I voted last week against the amendment on that. In any case, as I’ve said before, you can’t take no deal off the table unless and until you actually have a deal (or if you were to revoke the Article 50 process altogether). ","Seeks brexit deal. No deal left as an option, but to be used as negotitation tool to obtain a deal.",https://www.damianhinds.com/news/statement-brexit-and-way-ahead,1,1,0,NA
Karen Bradley,https://en.wikipedia.org/wiki/Karen_Bradley,Staffordshire Moorlands,0,Conservative,4,Deal/No deal,"On Wednesday the Commons then held votes to determine whether we were prepared to leave on 29th March without a deal. Some MPs want to take no deal off the table altogether and, while I think we should leave with a deal, I recognise that keeping no deal on the table helps our negotiating position. So I voted against taking no deal off the table.","Favours deal, but no deal has to be left on the table.",https://www.karenbradley.co.uk/campaigns/brexit,1,1,0,NA
Nicky Morgan,https://en.wikipedia.org/wiki/Nicky_Morgan,Loughborough,0,Conservative,4,Deal/No deal,"Second Referendum/People’s Vote - I do not support a second referendum or the People’s Vote campaign. My reasons why can be found here. ‘No Deal’ Brexit - Government policy is to seek a deal but to be clear that we will leave the EU on 31 October even if a deal cannot be concluded. I have previously raised my concerns about the uncertainty surrounding a ‘no deal’ Brexit. However, after three years of Brexit and the associated uncertainty for everyone, I do now believe that we need to get this withdrawal phase concluded.","Against second referendum, wants deal but no deal is still a potential option",https://www.nickymorgan.org/campaigns/my-views-brexit,1,1,0,0
James Brokenshire,https://en.wikipedia.org/wiki/James_Brokenshire,Old Bexley and Sidcup,0,Conservative,4,Deal/No deal,"The former Housing Secretary is one of the One Nation Caucus of Tory MPs who are trying to stop the Prime Minister from pursuing a no-deal Brexit.; We must however be prepared for all eventualities and if an acceptable agreement which can command the support of Parliament cannot be achieved this includes leaving on a ‘no deal’ basis.  That said, we must continue to exhaust all options in securing a negotiated agreement with the EU and I will continue to use all my efforts in this direction given the implications for our economy, security and our precious Union.","Favours deal. Against no deal brexit, but won't rule it out if it’s the only way to leave","https://www.lbc.co.uk/radio/presenters/nick-ferrari/boris-johnson-no-deal-failure-of-state/; We must however be prepared for all eventualities and if an acceptable agreement which can command the support of Parliament cannot be achieved this includes leaving on a ‘no deal’ basis.  That said, we must continue to exhaust all options in securing a negotiated agreement with the EU and I will continue to use all my efforts in this direction given the implications for our economy, security and our precious Union.",1,1,0,NA
Liam Fox,https://en.wikipedia.org/wiki/Liam_Fox,North Somerset,0,Conservative,4,Deal/No deal,"The International Trade Secretary said the next prime minister should tell the EU we want to leave the bloc with a deal for ""minimal disruption"". But he said no-deal must remain on the table, ""otherwise we have no real negotiating hand"".","Voted for May deal, willing to keep no deal on the table for neogotiation further down the line",https://www.bbc.co.uk/news/uk-politics-48510016,NA,1,0,NA
Jeremy Wright,https://en.wikipedia.org/wiki/Jeremy_Wright_(politician),Kenilworth and Southam,0,Conservative,4,Deal/No deal,"The new Prime Minister and his Government must now seek to reach agreement with the EU if possible, but the British peole have decided we should leave the EU and leave we must.",Strongly in favour of leaving with a deal. No deal a last resort but preferable to not leaving at all,https://www.jeremywright.org.uk/news/brexit-update-july-2019,1,1,0,NA
